nct_id,Type,Value,Action
NCT02663271,Tag,Musella Foundation,Add
NCT02667587,Tag,Musella Foundation,Add
NCT02669173,Tag,Musella Foundation,Add
NCT02678975,Tag,Musella Foundation,Add
NCT02681549,Tag,Musella Foundation,Add
NCT02684058,Tag,Musella Foundation,Add
NCT02684071,Tag,Musella Foundation,Add
NCT02685605,Tag,Musella Foundation,Add
NCT02691923,Tag,Musella Foundation,Add
NCT02693405,Tag,Musella Foundation,Add
NCT02693990,Tag,Musella Foundation,Add
NCT02698254,Tag,Musella Foundation,Add
NCT02704858,Tag,Musella Foundation,Add
NCT02709226,Tag,Musella Foundation,Add
NCT02715297,Tag,Musella Foundation,Add
NCT02715609,Tag,Musella Foundation,Add
NCT02717455,Tag,Musella Foundation,Add
NCT02717962,Tag,Musella Foundation,Add
NCT02722512,Tag,Musella Foundation,Add
NCT02724579,Tag,Musella Foundation,Add
NCT02726568,Tag,Musella Foundation,Add
NCT02747303,Tag,Musella Foundation,Add
NCT02747407,Tag,Musella Foundation,Add
NCT02748135,Tag,Musella Foundation,Add
NCT02750371,Tag,Musella Foundation,Add
NCT02754544,Tag,Musella Foundation,Add
NCT02758366,Tag,Musella Foundation,Add
NCT02761070,Tag,Musella Foundation,Add
NCT02765165,Tag,Musella Foundation,Add
NCT02766699,Tag,Musella Foundation,Add
NCT02768337,Tag,Musella Foundation,Add
NCT02774421,Tag,Musella Foundation,Add
NCT02780024,Tag,Musella Foundation,Add
NCT02781792,Tag,Musella Foundation,Add
NCT02792582,Tag,Musella Foundation,Add
NCT02796261,Tag,Musella Foundation,Add
NCT02800486,Tag,Musella Foundation,Add
NCT02813044,Tag,Musella Foundation,Add
NCT02824731,Tag,Musella Foundation,Add
NCT02829931,Tag,Musella Foundation,Add
NCT02831959,Tag,Musella Foundation,Add
NCT02840409,Tag,Musella Foundation,Add
NCT02847559,Tag,Musella Foundation,Add
NCT02849743,Tag,Musella Foundation,Add
NCT02854644,Tag,Musella Foundation,Add
NCT02861898,Tag,Musella Foundation,Add
NCT02864368,Tag,Musella Foundation,Add
NCT02869243,Tag,Musella Foundation,Add
NCT02875314,Tag,Musella Foundation,Add
NCT02885272,Tag,Musella Foundation,Add
NCT02885324,Tag,Musella Foundation,Add
NCT02893137,Tag,Musella Foundation,Add
NCT02895360,Tag,Musella Foundation,Add
NCT02902757,Tag,Musella Foundation,Add
NCT02905110,Tag,Musella Foundation,Add
NCT02909777,Tag,Musella Foundation,Add
NCT02910804,Tag,Musella Foundation,Add
NCT02914067,Tag,Musella Foundation,Add
NCT02924038,Tag,Musella Foundation,Add
NCT02941302,Tag,Musella Foundation,Add
NCT02942264,Tag,Musella Foundation,Add
NCT02945826,Tag,Musella Foundation,Add
NCT02956291,Tag,Musella Foundation,Add
NCT02962167,Tag,Musella Foundation,Add
NCT02970448,Tag,Musella Foundation,Add
NCT02977780,Tag,Musella Foundation,Add
NCT02978261,Tag,Musella Foundation,Add
NCT02978404,Tag,Musella Foundation,Add
NCT02986178,Tag,Musella Foundation,Add
NCT02986815,Tag,Musella Foundation,Add
NCT02991456,Tag,Musella Foundation,Add
NCT02992015,Tag,Musella Foundation,Add
NCT03010943,Tag,Musella Foundation,Add
NCT03014687,Tag,Musella Foundation,Add
NCT03016091,Tag,Musella Foundation,Add
NCT03018288,Tag,Musella Foundation,Add
NCT03022578,Tag,Musella Foundation,Add
NCT03025893,Tag,Musella Foundation,Add
NCT03027388,Tag,Musella Foundation,Add
NCT03028246,Tag,Musella Foundation,Add
NCT03032484,Tag,Musella Foundation,Add
NCT03033992,Tag,Musella Foundation,Add
NCT03037385,Tag,Musella Foundation,Add
NCT03043391,Tag,Musella Foundation,Add
NCT03047473,Tag,Musella Foundation,Add
NCT03048084,Tag,Musella Foundation,Add
NCT03050736,Tag,Musella Foundation,Add
NCT03055208,Tag,Musella Foundation,Add
NCT03058198,Tag,Musella Foundation,Add
NCT03058289,Tag,Musella Foundation,Add
NCT03071874,Tag,Musella Foundation,Add
NCT03072134,Tag,Musella Foundation,Add
NCT03075072,Tag,Musella Foundation,Add
NCT03076255,Tag,Musella Foundation,Add
NCT03086616,Tag,Musella Foundation,Add
NCT03091803,Tag,Musella Foundation,Add
NCT03095248,Tag,Musella Foundation,Add
NCT03107780,Tag,Musella Foundation,Add
NCT03111810,Tag,Musella Foundation,Add
NCT03115138,Tag,Musella Foundation,Add
NCT03115333,Tag,Musella Foundation,Add
NCT03115398,Tag,Musella Foundation,Add
NCT03119064,Tag,Musella Foundation,Add
NCT03122197,Tag,Musella Foundation,Add
NCT03126266,Tag,Musella Foundation,Add
NCT03128047,Tag,Musella Foundation,Add
NCT03134131,Tag,Musella Foundation,Add
NCT03149003,Tag,Musella Foundation,Add
NCT03151772,Tag,Musella Foundation,Add
NCT03152318,Tag,Musella Foundation,Add
NCT03154190,Tag,Musella Foundation,Add
NCT03154996,Tag,Musella Foundation,Add
NCT03155620,Tag,Musella Foundation,Add
NCT03158389,Tag,Musella Foundation,Add
NCT03163368,Tag,Musella Foundation,Add
NCT03173950,Tag,Musella Foundation,Add
NCT03174197,Tag,Musella Foundation,Add
NCT03178032,Tag,Musella Foundation,Add
NCT03179449,Tag,Musella Foundation,Add
NCT03180268,Tag,Musella Foundation,Add
NCT03180502,Tag,Musella Foundation,Add
NCT03181477,Tag,Musella Foundation,Add
NCT03189381,Tag,Musella Foundation,Add
NCT03190967,Tag,Musella Foundation,Add
NCT03194906,Tag,Musella Foundation,Add
NCT03206021,Tag,Musella Foundation,Add
NCT03210714,Tag,Musella Foundation,Add
NCT03212235,Tag,Musella Foundation,Add
NCT03212274,Tag,Musella Foundation,Add
NCT03212742,Tag,Musella Foundation,Add
NCT03213002,Tag,Musella Foundation,Add
NCT03213665,Tag,Musella Foundation,Add
NCT03213678,Tag,Musella Foundation,Add
NCT03213704,Tag,Musella Foundation,Add
NCT03220035,Tag,Musella Foundation,Add
NCT03220646,Tag,Musella Foundation,Add
NCT03223103,Tag,Musella Foundation,Add
NCT03223675,Tag,Musella Foundation,Add
NCT03223922,Tag,Musella Foundation,Add
NCT03224104,Tag,Musella Foundation,Add
NCT03224767,Tag,Musella Foundation,Add
NCT03226483,Tag,Musella Foundation,Add
NCT03231501,Tag,Musella Foundation,Add
NCT03232424,Tag,Musella Foundation,Add
NCT03233152,Tag,Musella Foundation,Add
NCT03233204,Tag,Musella Foundation,Add
NCT03234309,Tag,Musella Foundation,Add
NCT03234595,Tag,Musella Foundation,Add
NCT03242824,Tag,Musella Foundation,Add
NCT03243461,Tag,Musella Foundation,Add
NCT03243851,Tag,Musella Foundation,Add
NCT03247127,Tag,Musella Foundation,Add
NCT03250299,Tag,Musella Foundation,Add
NCT03251027,Tag,Musella Foundation,Add
NCT03257618,Tag,Musella Foundation,Add
NCT03264300,Tag,Musella Foundation,Add
NCT03267836,Tag,Musella Foundation,Add
NCT03273712,Tag,Musella Foundation,Add
NCT03274037,Tag,Musella Foundation,Add
NCT03276676,Tag,Musella Foundation,Add
NCT03277638,Tag,Musella Foundation,Add
NCT03278249,Tag,Musella Foundation,Add
NCT03279692,Tag,Musella Foundation,Add
NCT03281889,Tag,Musella Foundation,Add
NCT03283631,Tag,Musella Foundation,Add
NCT03285932,Tag,Musella Foundation,Add
NCT03286335,Tag,Musella Foundation,Add
