nct_id,Type,Value,Action
NCT01209442,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01212237,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01212731,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01217437,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01218542,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01222780,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01227434,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01238237,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01239316,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01248754,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01248949,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01250470,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01260506,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01266031,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01269853,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01269918,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01273090,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01288235,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01288573,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01290263,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01295632,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01301430,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01303497,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01303835,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01305941,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01324479,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01324635,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01331135,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01331291,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01331616,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01339052,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01342237,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01346267,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01349036,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01349660,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01351519,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01353625,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01358058,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01372774,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01378481,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01380782,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01381718,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01386450,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01386710,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01390571,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01391143,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01392209,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01392352,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01393912,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01400672,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01403285,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01432171,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01433991,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01435395,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01445288,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01445691,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01447810,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01449461,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01452854,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01462695,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01464177,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01466686,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01478178,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01478321,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01478854,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01480050,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01483820,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01491893,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01497860,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
