nct_id,Type,Value,Action
NCT01580969,Tag,Musella Foundation,Remove
NCT00147056,Tag,Musella Foundation,Remove
NCT02716948,Tag,Musella Foundation,Remove
NCT01390571,Tag,Musella Foundation,Remove
NCT01526837,Tag,Musella Foundation,Remove
NCT00883688,Tag,Musella Foundation,Remove
NCT01117168,Tag,Musella Foundation,Remove
NCT01604590,Tag,Musella Foundation,Remove
NCT02659800,Tag,Musella Foundation,Remove
NCT02613988,Tag,Musella Foundation,Remove
NCT00267865,Tag,Musella Foundation,Remove
NCT02617745,Tag,Musella Foundation,Remove
NCT02619864,Tag,Musella Foundation,Remove
NCT01138033,Tag,Musella Foundation,Remove
NCT02652897,Tag,Musella Foundation,Remove
NCT02658981,Tag,Musella Foundation,Remove
NCT01601314,Tag,Musella Foundation,Remove
NCT01638130,Tag,Musella Foundation,Remove
NCT01182415,Tag,Musella Foundation,Remove
NCT02388659,Tag,Musella Foundation,Remove
NCT03257631,Tag,Musella Foundation,Remove
NCT01666600,Tag,Musella Foundation,Remove
NCT01222728,Tag,Musella Foundation,Remove
NCT02783495,Tag,Musella Foundation,Remove
NCT01663012,Tag,Musella Foundation,Remove
NCT01130077,Tag,Musella Foundation,Remove
NCT01698437,Tag,Musella Foundation,Remove
NCT01345370,Tag,Musella Foundation,Remove
NCT01703481,Tag,Musella Foundation,Remove
NCT00752323,Tag,Musella Foundation,Remove
NCT01381718,Tag,Musella Foundation,Remove
NCT02861898,Tag,Musella Foundation,Remove
NCT01391143,Tag,Musella Foundation,Remove
NCT01514877,Tag,Musella Foundation,Remove
NCT01738646,Tag,Musella Foundation,Remove
NCT01770626,Tag,Musella Foundation,Remove
NCT02550249,Tag,Musella Foundation,Remove
NCT01716468,Tag,Musella Foundation,Remove
NCT01708174,Tag,Musella Foundation,Remove
NCT02607124,Tag,Musella Foundation,Remove
NCT01018836,Tag,Musella Foundation,Remove
NCT02540876,Tag,Musella Foundation,Remove
NCT00716976,Tag,Musella Foundation,Remove
NCT02558335,Tag,Musella Foundation,Remove
NCT01801852,Tag,Musella Foundation,Remove
